,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU3914,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__Neochlamydia,Unclassified
OTU3915,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3916,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,Unclassified,Unclassified
OTU3917,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3918,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3919,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Zavarzinella,Unclassified
OTU3920,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3921,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3922,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,Unclassified
OTU3923,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Pirellula,Unclassified
OTU3924,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Zavarzinella,Unclassified
OTU3925,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,g__Sediminibacterium,Unclassified
OTU3926,k__Bacteria,p__Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3927,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3928,k__Bacteria,p__Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3929,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3930,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Intrasporangiaceae,g__Lapillicoccus,Unclassified
OTU3931,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3932,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3933,k__Bacteria,p__Acidobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3934,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae_1,g__Paenibacillus,Unclassified
OTU3935,k__Bacteria,p__Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3936,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3937,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3938,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3939,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3940,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp6,Unclassified,Unclassified,g__Gp6,Unclassified
OTU3941,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,Unclassified,Unclassified
OTU3942,k__Bacteria,p__Verrucomicrobia,c__Subdivision3,Unclassified,Unclassified,g__Subdivision3_genera_incertae_sedis,Unclassified
OTU3943,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__Ktedonobacter,Unclassified
OTU3944,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3945,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3946,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,Unclassified
OTU3947,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3948,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3949,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__Aquicella,Unclassified
OTU3950,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3951,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3952,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3953,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__Polyangium,Unclassified
OTU3954,k__Bacteria,p__Cyanobacteria/Chloroplast,c__Chloroplast,Unclassified,f__Chloroplast,g__Streptophyta,Unclassified
OTU3955,k__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__Fimbriimonas,Unclassified
OTU3956,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,Unclassified,Unclassified,Unclassified
OTU3957,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3958,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,Unclassified,Unclassified,Unclassified
OTU3959,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3960,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3961,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,Unclassified
OTU3962,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__Aquicella,Unclassified
OTU3963,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3964,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3965,k__Bacteria,p__Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3966,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3967,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3968,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,Unclassified,Unclassified
OTU3969,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,Unclassified,Unclassified,Unclassified
OTU3970,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,Unclassified,Unclassified,Unclassified
OTU3971,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,Unclassified,Unclassified
OTU3972,k__Bacteria,p__Verrucomicrobia,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3973,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3974,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3975,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,Unclassified
OTU3976,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3977,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3978,k__Bacteria,p__BRC1,Unclassified,Unclassified,Unclassified,g__BRC1_genera_incertae_sedis,Unclassified
OTU3979,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3980,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3981,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,Unclassified
OTU3982,k__Bacteria,p__Armatimonadetes,c__Chthonomonadetes,o__Chthonomonadales,f__Chthonomonadaceae,g__Chthonomonas/Armatimonadetes_gp3,Unclassified
OTU3983,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3984,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3985,k__Bacteria,p__Parcubacteria,Unclassified,Unclassified,Unclassified,g__Parcubacteria_genera_incertae_sedis,Unclassified
OTU3986,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp4,Unclassified,Unclassified,g__Gp4,Unclassified
OTU3987,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,Unclassified
OTU3988,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Lacibacterium,Unclassified
OTU3989,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3990,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3991,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3992,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU3993,k__Bacteria,p__Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3994,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3995,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,Unclassified,Unclassified
OTU3996,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Rubinisphaera,Unclassified
OTU3997,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU3998,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU3999,k__Bacteria,p__candidate_division_WPS-1,Unclassified,Unclassified,Unclassified,g__WPS-1_genera_incertae_sedis,Unclassified
OTU4000,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,Unclassified,Unclassified
OTU4001,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,g__Rhodococcus,Unclassified
OTU4002,k__Bacteria,p__Acidobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4003,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4004,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,Unclassified,Unclassified
OTU4005,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp4,Unclassified,Unclassified,g__Gp4,Unclassified
OTU4006,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4007,k__Bacteria,p__Cyanobacteria/Chloroplast,c__Cyanobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4008,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp3,Unclassified,Unclassified,g__Gp3,Unclassified
OTU4009,k__Bacteria,p__Armatimonadetes,Unclassified,Unclassified,Unclassified,g__Armatimonadetes_gp4,Unclassified
OTU4010,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp10,Unclassified,Unclassified,g__Gp10,Unclassified
OTU4011,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4012,k__Bacteria,p__Armatimonadetes,Unclassified,Unclassified,Unclassified,g__Armatimonadetes_gp5,Unclassified
OTU4013,k__Bacteria,p__Cyanobacteria/Chloroplast,c__Chloroplast,Unclassified,f__Chloroplast,Unclassified,Unclassified
OTU4014,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae_1,g__Paenibacillus,Unclassified
OTU4015,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4016,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,g__Flavihumibacter,Unclassified
OTU4017,k__Bacteria,p__Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4018,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4019,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4020,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,Unclassified
OTU4021,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,g__Smaragdicoccus,Unclassified
OTU4022,k__Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4023,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp16,Unclassified,Unclassified,g__Gp16,Unclassified
OTU4024,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Acidimicrobiales,f__Acidimicrobineae_incertae_sedis,g__Aciditerrimonas,Unclassified
OTU4025,k__Bacteria,p__Armatimonadetes,Unclassified,Unclassified,Unclassified,g__Armatimonadetes_gp4,Unclassified
OTU4026,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4027,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU4028,k__Bacteria,p__Verrucomicrobia,c__Subdivision3,Unclassified,Unclassified,g__Subdivision3_genera_incertae_sedis,Unclassified
OTU4029,k__Bacteria,p__Armatimonadetes,Unclassified,Unclassified,Unclassified,g__Armatimonadetes_gp4,Unclassified
