,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU49,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,g__Coniochaeta,s__Coniochaeta fasciculata
OTU50,k__Viridiplantae,p__Anthophyta,c__Eudicotyledonae,o__Ericales,f__Ericaceae,g__Pyrola,Unclassified
OTU51,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Apiosordaria,Unclassified
OTU52,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU53,k__Fungi,p__Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU54,k__Fungi,p__Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU55,k__Fungi,p__Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU56,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,Unclassified
OTU57,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU58,k__Fungi,p__Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU59,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU60,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,Unclassified
OTU61,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU62,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella globalpina
OTU63,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma carnescens
OTU64,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,Unclassified,g__Polyschema,s__Polyschema sclerotigenum
OTU65,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaeta,Unclassified
OTU66,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusicolla,s__Fusicolla septimanifiniscientiae
OTU67,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU68,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Epicoccum,Unclassified
OTU69,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__Cystofilobasidium capitatum
OTU70,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,g__Pseudoconiothyrium,s__Pseudoconiothyrium broussonetiae
OTU71,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU72,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__Arxiella,s__Arxiella celtidis
OTU73,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,Unclassified
OTU74,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Dipodascaceae,g__Geotrichum,s__Geotrichum candidum
OTU75,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,Unclassified,Unclassified
OTU76,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,Unclassified,Unclassified
OTU77,k__Fungi,p__Ascomycota,c__Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU78,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,Unclassified,Unclassified,Unclassified
OTU79,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Protomycetaceae,Unclassified,Unclassified
OTU80,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,Unclassified,Unclassified,Unclassified
OTU81,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,Unclassified,Unclassified,Unclassified
OTU82,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,Unclassified,Unclassified,Unclassified
OTU83,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU84,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU85,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU86,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU87,k__Fungi,p__Blastocladiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU88,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,Unclassified
OTU89,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Biappendiculispora,Unclassified
OTU90,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,Unclassified,Unclassified,Unclassified
